ORIG_AIRPORT_CD,DEST_AIRPORT_CD,CARRIER_CD,SUB_CLASS_CD,SUB_CLASS_PRICE,CLASS_CD,CURRENCY
CSX,TAO,Y8,V,780,Y,CNY
CSX,TAO,CA,V,1040,Y,CNY
HFE,INC,DZ,G,720,Y,CNY
XIY,HYN,KY,M,1400,Y,CNY
CSX,TAO,MF,L,1280,Y,CNY
HFE,INC,ZH,W,930,Y,CNY
INC,HFE,CA,Q,1100,Y,CNY
XIY,HYN,ZH,Y,1540,Y,CNY
XIY,HYN,KY,Y,1540,Y,CNY
HYN,XIY,ZH,J,3850,C,CNY
INC,HFE,ZH,W,930,Y,CNY
INC,HFE,MU,E,1000,Y,CNY
INC,HFE,MU,Q,1860,C,CNY
TAO,CSX,QW,Z,710,Y,CNY
HFE,INC,PN,H,1200,Y,CNY
XIY,HYN,9H,Y,1540,Y,CNY
HFE,INC,MU,K,940,Y,CNY
CSX,TAO,Y8,M,970,Y,CNY
TAO,CSX,CZ,A,1020,Y,CNY
CSX,TAO,BK,K,1340,Y,CNY
TAO,CSX,KY,Y,1480,Y,CNY
INC,HFE,ZH,B,1550,Y,CNY
HFE,INC,PN,T,370,Y,CNY
CSX,TAO,HU,N,680,Y,CNY
TAO,CSX,HO,W,830,Y,CNY
HFE,INC,QW,U,640,Y,CNY
XIY,HYN,ZH,M,1400,Y,CNY
HFE,INC,MU,N,780,Y,CNY
HFE,INC,PN,N,600,Y,CNY
INC,HFE,MU,I,1690,C,CNY
HYN,XIY,VD,V,680,Y,CNY
HYN,XIY,ZH,U,1250,Y,CNY
TAO,CSX,MU,P,1490,Y,CNY
CSX,TAO,JD,N,680,Y,CNY
TAO,CSX,HU,L,1100,Y,CNY
XIY,HYN,9H,B,1420,Y,CNY
TAO,CSX,HO,U,1310,Y,CNY
TAO,CSX,JD,N,680,Y,CNY
XIY,HYN,KY,U,1250,Y,CNY
INC,HFE,MU,P,1420,Y,CNY
TAO,CSX,KY,S,710,Y,CNY
XIY,HYN,VD,L,1050,Y,CNY
TAO,CSX,CZ,J,3400,C,CNY
INC,HFE,DZ,V,640,Y,CNY
XIY,HYN,CA,B,1520,Y,CNY
TAO,CSX,MU,I,1660,C,CNY
HFE,INC,CA,S,710,Y,CNY
INC,HFE,QW,Y,1430,Y,CNY
HYN,XIY,MU,Y,1540,Y,CNY
TAO,CSX,BK,O,530,Y,CNY
HFE,INC,CA,Z,1880,C,CNY
TAO,CSX,MF,J,4050,C,CNY
XIY,HYN,KY,V,940,Y,CNY
CSX,TAO,HU,Y,1620,Y,CNY
XIY,HYN,VD,B,1350,Y,CNY
CSX,TAO,HO,M,1390,Y,CNY
TAO,CSX,SC,G,960,Y,CNY
CSX,TAO,Y8,N,680,Y,CNY
CSX,TAO,CZ,M,1240,Y,CNY
CSX,TAO,MU,D,1960,C,CNY
HFE,INC,DZ,Q,860,Y,CNY
HFE,INC,PN,U,430,Y,CNY
TAO,CSX,BK,L,1180,Y,CNY
HYN,XIY,KY,Q,1090,Y,CNY
CSX,TAO,QW,G,960,Y,CNY
HFE,INC,PN,Q,540,Y,CNY
TAO,CSX,HU,X,870,Y,CNY
CSX,TAO,KY,V,930,Y,CNY
CSX,TAO,MF,Q,1040,Y,CNY
HFE,INC,ZH,C,3770,C,CNY
HFE,INC,CA,Q,1100,Y,CNY
TAO,CSX,CA,Q,1200,Y,CNY
INC,HFE,CA,D,2040,C,CNY
TAO,CSX,Y8,H,1360,Y,CNY
HYN,XIY,9H,X,830,Y,CNY
INC,HFE,KY,M,1510,Y,CNY
HYN,XIY,MU,V,600,Y,CNY
TAO,CSX,JD,B,1490,Y,CNY
HFE,INC,MU,D,1930,C,CNY
TAO,CSX,SC,L,1200,Y,CNY
HFE,INC,CA,R,1730,C,CNY
CSX,TAO,BK,E,860,Y,CNY
HYN,XIY,CA,B,1520,Y,CNY
CSX,TAO,MF,Y,1620,Y,CNY
HFE,INC,SC,Z,570,Y,CNY
HYN,XIY,9H,T,460,Y,CNY
INC,HFE,ZH,V,1080,Y,CNY
TAO,CSX,A6,R,650,Y,CNY
INC,HFE,CA,Y,1570,Y,CNY
HYN,XIY,CA,Q,1090,Y,CNY
TAO,CSX,KY,J,4440,C,CNY
CSX,TAO,HU,M,970,Y,CNY
INC,HFE,PN,T,370,Y,CNY
INC,HFE,KY,J,3930,C,CNY
TAO,CSX,JD,K,1230,Y,CNY
HFE,INC,KY,S,800,Y,CNY
INC,HFE,QW,G,790,Y,CNY
INC,HFE,CA,R,1730,C,CNY
TAO,CSX,QW,U,790,Y,CNY
XIY,HYN,MU,Y,1540,Y,CNY
XIY,HYN,VD,V,680,Y,CNY
HFE,INC,DZ,J,930,Y,CNY
CSX,TAO,MU,Y,1510,Y,CNY
INC,HFE,MU,J,3220,C,CNY
CSX,TAO,KY,W,780,Y,CNY
TAO,CSX,A6,C,4860,C,CNY
HFE,INC,MU,U,3250,C,CNY
TAO,CSX,BK,U,780,Y,CNY
CSX,TAO,MU,F,3320,F,CNY
CSX,TAO,BK,L,1180,Y,CNY
CSX,TAO,SC,W,1620,Y,CNY
TAO,CSX,CZ,U,1100,Y,CNY
HFE,INC,DZ,Y,1430,Y,CNY
HFE,INC,ZH,B,1550,Y,CNY
INC,HFE,DZ,F,3150,F,CNY
HYN,XIY,CA,M,1400,Y,CNY
HYN,XIY,MU,M,1450,Y,CNY
XIY,HYN,ZH,G,1540,Y,CNY
TAO,CSX,QW,W,1620,Y,CNY
INC,HFE,MU,L,860,Y,CNY
XIY,HYN,MU,J,3050,C,CNY
HYN,XIY,ZH,B,1520,Y,CNY
INC,HFE,CA,U,1260,Y,CNY
HFE,INC,KY,G,1570,Y,CNY
HYN,XIY,9H,L,1050,Y,CNY
TAO,CSX,Y8,Y,1620,Y,CNY
INC,HFE,DZ,M,1220,Y,CNY
TAO,CSX,BK,T,700,Y,CNY
TAO,CSX,MF,Q,1040,Y,CNY
XIY,HYN,VD,Q,900,Y,CNY
CSX,TAO,A6,H,1300,Y,CNY
HYN,XIY,KY,V,940,Y,CNY
TAO,CSX,HO,T,660,Y,CNY
CSX,TAO,SC,B,1520,Y,CNY
CSX,TAO,HO,D,1940,C,CNY
CSX,TAO,MU,R,690,Y,CNY
XIY,HYN,MU,L,980,Y,CNY
TAO,CSX,CZ,L,950,Y,CNY
HYN,XIY,MU,P,1520,Y,CNY
CSX,TAO,MF,J,4050,C,CNY
HYN,XIY,MU,L,980,Y,CNY
INC,HFE,SC,Q,870,Y,CNY
XIY,HYN,ZH,B,1520,Y,CNY
HFE,INC,MU,V,510,Y,CNY
HFE,INC,MU,L,860,Y,CNY
XIY,HYN,MU,M,1450,Y,CNY
TAO,CSX,Y8,L,1100,Y,CNY
CSX,TAO,CZ,L,950,Y,CNY
INC,HFE,KY,G,1570,Y,CNY
XIY,HYN,CA,W,790,Y,CNY
TAO,CSX,HO,E,500,Y,CNY
CSX,TAO,HO,V,990,Y,CNY
CSX,TAO,MF,M,1360,Y,CNY
HYN,XIY,KY,G,1540,Y,CNY
INC,HFE,MU,W,1430,Y,CNY
CSX,TAO,A6,Y,1620,Y,CNY
INC,HFE,SC,B,1360,Y,CNY
TAO,CSX,HO,M,1390,Y,CNY
TAO,CSX,BK,Y,1620,Y,CNY
TAO,CSX,MU,E,1050,Y,CNY
HFE,INC,MU,R,640,Y,CNY
CSX,TAO,MU,Q,1810,C,CNY
HYN,XIY,ZH,V,940,Y,CNY
TAO,CSX,Y8,C,4860,C,CNY
CSX,TAO,SC,H,1360,Y,CNY
INC,HFE,SC,C,3500,C,CNY
HFE,INC,CA,V,940,Y,CNY
HFE,INC,ZH,S,800,Y,CNY
XIY,HYN,MU,I,1820,C,CNY
TAO,CSX,CA,W,870,Y,CNY
CSX,TAO,CZ,F,5920,F,CNY
CSX,TAO,JD,K,1230,Y,CNY
INC,HFE,DZ,G,720,Y,CNY
HYN,XIY,MU,I,1820,C,CNY
CSX,TAO,CA,B,1520,Y,CNY
HYN,XIY,MU,Q,2000,C,CNY
CSX,TAO,HO,U,1310,Y,CNY
TAO,CSX,MU,J,2990,C,CNY
TAO,CSX,BK,E,860,Y,CNY
HYN,XIY,9H,H,1290,Y,CNY
CSX,TAO,BK,T,700,Y,CNY
TAO,CSX,BK,K,1340,Y,CNY
CSX,TAO,KY,S,710,Y,CNY
TAO,CSX,CZ,H,1170,Y,CNY
TAO,CSX,MF,M,1360,Y,CNY
HYN,XIY,KY,M,1400,Y,CNY
TAO,CSX,A6,A,810,Y,CNY
INC,HFE,DZ,C,2150,C,CNY
CSX,TAO,SC,G,960,Y,CNY
XIY,HYN,9H,V,740,Y,CNY
HYN,XIY,VD,L,1050,Y,CNY
INC,HFE,ZH,C,3770,C,CNY
XIY,HYN,VD,G,750,Y,CNY
CSX,TAO,HO,J,4050,C,CNY
HFE,INC,DZ,H,1140,Y,CNY
HFE,INC,MU,J,3220,C,CNY
CSX,TAO,MF,B,1520,Y,CNY
HFE,INC,DZ,V,640,Y,CNY
TAO,CSX,MU,B,1360,Y,CNY
TAO,CSX,MF,N,1120,Y,CNY
INC,HFE,DZ,B,1290,Y,CNY
XIY,HYN,CA,Q,1090,Y,CNY
TAO,CSX,HO,B,1470,Y,CNY
INC,HFE,DZ,P,500,Y,CNY
INC,HFE,MU,R,640,Y,CNY
CSX,TAO,QW,P,1120,Y,CNY
TAO,CSX,MF,T,790,Y,CNY
TAO,CSX,HO,V,990,Y,CNY
TAO,CSX,HU,V,780,Y,CNY
CSX,TAO,QW,B,1520,Y,CNY
CSX,TAO,MF,T,790,Y,CNY
TAO,CSX,JD,U,490,Y,CNY
INC,HFE,DZ,Z,790,Y,CNY
INC,HFE,SC,V,730,Y,CNY
HYN,XIY,9H,B,1420,Y,CNY
CSX,TAO,QW,H,1360,Y,CNY
HFE,INC,QW,Y,1430,Y,CNY
HFE,INC,DZ,P,500,Y,CNY
CSX,TAO,KY,M,1380,Y,CNY
TAO,CSX,BK,D,620,Y,CNY
HFE,INC,CA,Y,1570,Y,CNY
TAO,CSX,CA,J,4780,C,CNY
XIY,HYN,ZH,F,3850,F,CNY
TAO,CSX,JD,A,570,Y,CNY
CSX,TAO,MU,M,1200,Y,CNY
HYN,XIY,9H,M,920,Y,CNY
INC,HFE,CA,W,790,Y,CNY
TAO,CSX,MU,R,690,Y,CNY
TAO,CSX,SC,H,1360,Y,CNY
CSX,TAO,JD,V,780,Y,CNY
XIY,HYN,VD,H,1200,Y,CNY
CSX,TAO,JD,H,1360,Y,CNY
CSX,TAO,HU,C,4860,C,CNY
CSX,TAO,A6,U,890,Y,CNY
TAO,CSX,MU,K,930,Y,CNY
INC,HFE,CA,G,1570,Y,CNY
TAO,CSX,MU,D,1960,C,CNY
XIY,HYN,VD,Y,1500,Y,CNY
INC,HFE,CA,A,3140,F,CNY
HFE,INC,CA,J,2830,C,CNY
CSX,TAO,QW,W,1620,Y,CNY
HYN,XIY,CA,S,690,Y,CNY
CSX,TAO,BK,Y,1620,Y,CNY
CSX,TAO,HU,V,780,Y,CNY
INC,HFE,ZH,G,1570,Y,CNY
XIY,HYN,CA,U,1250,Y,CNY
XIY,HYN,ZH,V,940,Y,CNY
CSX,TAO,KY,Q,1080,Y,CNY
CSX,TAO,A6,B,1460,Y,CNY
CSX,TAO,HO,B,1470,Y,CNY
HYN,XIY,VD,P,980,Y,CNY
CSX,TAO,CZ,J,3400,C,CNY
XIY,HYN,MU,Q,2000,C,CNY
INC,HFE,SC,Y,1430,Y,CNY
TAO,CSX,A6,Y,1620,Y,CNY
INC,HFE,QW,W,1430,Y,CNY
HYN,XIY,MU,U,3080,C,CNY
TAO,CSX,HO,Q,1150,Y,CNY
CSX,TAO,MU,E,1050,Y,CNY
TAO,CSX,MU,W,1510,Y,CNY
INC,HFE,PN,K,1090,Y,CNY
INC,HFE,CA,H,1180,Y,CNY
TAO,CSX,BK,M,1260,Y,CNY
HYN,XIY,9H,Z,400,Y,CNY
CSX,TAO,SC,U,790,Y,CNY
CSX,TAO,JD,M,970,Y,CNY
XIY,HYN,MU,C,2160,C,CNY
XIY,HYN,MU,B,1520,Y,CNY
INC,HFE,MU,U,3250,C,CNY
TAO,CSX,CZ,M,1240,Y,CNY
XIY,HYN,ZH,C,2770,C,CNY
HFE,INC,SC,L,1070,Y,CNY
HYN,XIY,9H,Y,1540,Y,CNY
CSX,TAO,Y8,X,870,Y,CNY
TAO,CSX,JD,H,1360,Y,CNY
CSX,TAO,CA,S,790,Y,CNY
CSX,TAO,MF,K,1200,Y,CNY
HYN,XIY,CA,W,790,Y,CNY
XIY,HYN,KY,J,3850,C,CNY
CSX,TAO,MU,L,850,Y,CNY
HFE,INC,CA,B,1410,Y,CNY
INC,HFE,KY,Q,1240,Y,CNY
XIY,HYN,MU,P,1520,Y,CNY
HFE,INC,DZ,C,2150,C,CNY
TAO,CSX,KY,E,640,Y,CNY
TAO,CSX,QW,L,1200,Y,CNY
XIY,HYN,VD,M,1280,Y,CNY
HFE,INC,KY,M,1510,Y,CNY
CSX,TAO,KY,E,640,Y,CNY
CSX,TAO,KY,B,1470,Y,CNY
HYN,XIY,MU,F,3390,F,CNY
INC,HFE,CA,J,2830,C,CNY
TAO,CSX,MU,C,2110,C,CNY
INC,HFE,MU,C,2250,C,CNY
HYN,XIY,CA,U,1250,Y,CNY
CSX,TAO,MU,P,1490,Y,CNY
XIY,HYN,9H,Z,400,Y,CNY
HYN,XIY,MU,S,660,Y,CNY
TAO,CSX,HO,D,1940,C,CNY
XIY,HYN,ZH,Q,1090,Y,CNY
TAO,CSX,SC,B,1520,Y,CNY
INC,HFE,KY,Y,1570,Y,CNY
HFE,INC,DZ,F,3150,F,CNY
TAO,CSX,CA,B,1520,Y,CNY
HFE,INC,SC,B,1360,Y,CNY
INC,HFE,DZ,K,1070,Y,CNY
INC,HFE,KY,U,1400,Y,CNY
INC,HFE,PN,N,600,Y,CNY
HYN,XIY,CA,V,940,Y,CNY
CSX,TAO,BK,B,1510,Y,CNY
CSX,TAO,CA,W,870,Y,CNY
HYN,XIY,ZH,M,1400,Y,CNY
INC,HFE,CA,V,940,Y,CNY
HFE,INC,DZ,M,1220,Y,CNY
HYN,XIY,KY,W,790,Y,CNY
TAO,CSX,JD,L,1100,Y,CNY
TAO,CSX,A6,G,1620,Y,CNY
HFE,INC,QW,P,930,Y,CNY
CSX,TAO,HU,W,1620,Y,CNY
TAO,CSX,MF,L,1280,Y,CNY
HFE,INC,MU,S,580,Y,CNY
INC,HFE,MU,M,1140,Y,CNY
HFE,INC,MU,F,3580,F,CNY
CSX,TAO,KY,Y,1480,Y,CNY
HFE,INC,SC,H,1220,Y,CNY
INC,HFE,PN,U,430,Y,CNY
HFE,INC,QW,G,790,Y,CNY
TAO,CSX,A6,U,890,Y,CNY
INC,HFE,MU,Y,1430,Y,CNY
TAO,CSX,HU,M,970,Y,CNY
CSX,TAO,CA,Y,1620,Y,CNY
TAO,CSX,Y8,K,1230,Y,CNY
INC,HFE,ZH,S,800,Y,CNY
XIY,HYN,MU,U,3080,C,CNY
TAO,CSX,MF,F,4860,F,CNY
HFE,INC,KY,J,3930,C,CNY
HFE,INC,CA,U,1260,Y,CNY
INC,HFE,QW,Q,860,Y,CNY
TAO,CSX,MF,Y,1620,Y,CNY
XIY,HYN,9H,M,920,Y,CNY
TAO,CSX,CZ,V,730,Y,CNY
TAO,CSX,A6,B,1460,Y,CNY
TAO,CSX,HU,W,1620,Y,CNY
XIY,HYN,CA,J,3850,C,CNY
XIY,HYN,MU,V,600,Y,CNY
CSX,TAO,MU,I,1660,C,CNY
INC,HFE,QW,V,720,Y,CNY
TAO,CSX,KY,W,780,Y,CNY
TAO,CSX,QW,Q,1040,Y,CNY
HFE,INC,ZH,V,1080,Y,CNY
CSX,TAO,QW,Z,710,Y,CNY
XIY,HYN,9H,H,1290,Y,CNY
CSX,TAO,KY,U,1230,Y,CNY
INC,HFE,QW,P,930,Y,CNY
HFE,INC,SC,C,3500,C,CNY
CSX,TAO,HU,L,1100,Y,CNY
HFE,INC,QW,Z,570,Y,CNY
HYN,XIY,MU,J,3050,C,CNY
CSX,TAO,HO,E,500,Y,CNY
HYN,XIY,KY,J,3850,C,CNY
HFE,INC,QW,Q,860,Y,CNY
TAO,CSX,SC,V,870,Y,CNY
TAO,CSX,QW,Y,1620,Y,CNY
TAO,CSX,MU,U,3020,C,CNY
HYN,XIY,MU,K,1120,Y,CNY
TAO,CSX,MU,Q,1810,C,CNY
TAO,CSX,BK,B,1510,Y,CNY
TAO,CSX,KY,Q,1080,Y,CNY
XIY,HYN,ZH,U,1250,Y,CNY
CSX,TAO,KY,H,1150,Y,CNY
HFE,INC,MU,E,1000,Y,CNY
INC,HFE,QW,B,1290,Y,CNY
TAO,CSX,JD,T,390,Y,CNY
HFE,INC,QW,L,1000,Y,CNY
CSX,TAO,KY,G,1480,Y,CNY
CSX,TAO,CZ,E,800,Y,CNY
CSX,TAO,HU,X,870,Y,CNY
INC,HFE,MU,F,3580,F,CNY
TAO,CSX,MU,Y,1510,Y,CNY
CSX,TAO,MU,B,1360,Y,CNY
HFE,INC,MU,I,1690,C,CNY
INC,HFE,SC,G,800,Y,CNY
HYN,XIY,MU,R,720,Y,CNY
HYN,XIY,MU,B,1520,Y,CNY
TAO,CSX,A6,N,1130,Y,CNY
CSX,TAO,MU,U,3020,C,CNY
TAO,CSX,Y8,X,870,Y,CNY
HYN,XIY,9H,K,1170,Y,CNY
INC,HFE,QW,Z,570,Y,CNY
TAO,CSX,MF,V,870,Y,CNY
INC,HFE,SC,H,1220,Y,CNY
INC,HFE,PN,L,970,Y,CNY
HFE,INC,ZH,U,1400,Y,CNY
HFE,INC,ZH,J,3930,C,CNY
INC,HFE,PN,A,490,Y,CNY
CSX,TAO,MU,S,610,Y,CNY
HFE,INC,KY,W,930,Y,CNY
CSX,TAO,JD,T,390,Y,CNY
XIY,HYN,MU,S,660,Y,CNY
INC,HFE,PN,B,1320,Y,CNY
CSX,TAO,CZ,C,2660,C,CNY
INC,HFE,MU,N,780,Y,CNY
CSX,TAO,MU,N,770,Y,CNY
CSX,TAO,JD,X,870,Y,CNY
HYN,XIY,MU,W,1540,Y,CNY
TAO,CSX,A6,I,730,Y,CNY
CSX,TAO,HO,Y,1620,Y,CNY
HFE,INC,PN,X,770,Y,CNY
TAO,CSX,QW,H,1360,Y,CNY
INC,HFE,CA,M,1380,Y,CNY
CSX,TAO,Y8,Y,1620,Y,CNY
CSX,TAO,SC,Y,1620,Y,CNY
XIY,HYN,CA,Y,1540,Y,CNY
TAO,CSX,CZ,F,5920,F,CNY
INC,HFE,CA,F,3450,F,CNY
HFE,INC,CA,H,1180,Y,CNY
CSX,TAO,CZ,W,1480,Y,CNY
HFE,INC,ZH,Q,1240,Y,CNY
TAO,CSX,QW,P,1120,Y,CNY
CSX,TAO,BK,D,620,Y,CNY
XIY,HYN,ZH,J,3850,C,CNY
HYN,XIY,VD,K,1130,Y,CNY
HFE,INC,QW,B,1290,Y,CNY
TAO,CSX,SC,U,790,Y,CNY
TAO,CSX,CA,S,790,Y,CNY
CSX,TAO,MF,H,1610,Y,CNY
INC,HFE,DZ,Q,860,Y,CNY
TAO,CSX,SC,C,4780,C,CNY
HFE,INC,PN,Y,1430,Y,CNY
CSX,TAO,CZ,U,1100,Y,CNY
TAO,CSX,A6,H,1300,Y,CNY
HFE,INC,CA,W,790,Y,CNY
HYN,XIY,MU,C,2160,C,CNY
TAO,CSX,QW,G,960,Y,CNY
CSX,TAO,HU,K,1230,Y,CNY
HYN,XIY,VD,H,1200,Y,CNY
CSX,TAO,MU,V,530,Y,CNY
XIY,HYN,KY,Q,1090,Y,CNY
CSX,TAO,HO,C,2430,C,CNY
XIY,HYN,9H,R,340,Y,CNY
INC,HFE,ZH,U,1400,Y,CNY
INC,HFE,CA,Z,1880,C,CNY
HFE,INC,SC,W,1430,Y,CNY
TAO,CSX,MU,L,850,Y,CNY
CSX,TAO,Y8,L,1100,Y,CNY
HYN,XIY,VD,B,1350,Y,CNY
HFE,INC,PN,V,690,Y,CNY
HYN,XIY,VD,C,1950,C,CNY
INC,HFE,KY,V,1080,Y,CNY
TAO,CSX,CZ,E,800,Y,CNY
XIY,HYN,MU,N,820,Y,CNY
INC,HFE,PN,Q,540,Y,CNY
CSX,TAO,MF,N,1120,Y,CNY
TAO,CSX,MU,V,530,Y,CNY
INC,HFE,DZ,U,430,Y,CNY
TAO,CSX,JD,M,970,Y,CNY
XIY,HYN,CA,V,940,Y,CNY
INC,HFE,DZ,T,1360,Y,CNY
HYN,XIY,CA,Y,1540,Y,CNY
INC,HFE,MU,K,940,Y,CNY
TAO,CSX,HO,S,750,Y,CNY
CSX,TAO,MU,K,930,Y,CNY
CSX,TAO,A6,T,970,Y,CNY
HFE,INC,CA,D,2040,C,CNY
TAO,CSX,CZ,Y,1480,Y,CNY
TAO,CSX,KY,V,930,Y,CNY
HYN,XIY,ZH,Q,1090,Y,CNY
HFE,INC,KY,Y,1570,Y,CNY
CSX,TAO,JD,A,570,Y,CNY
TAO,CSX,Y8,B,1490,Y,CNY
TAO,CSX,MU,S,610,Y,CNY
TAO,CSX,KY,B,1470,Y,CNY
TAO,CSX,QW,B,1520,Y,CNY
TAO,CSX,HO,Z,580,Y,CNY
TAO,CSX,MF,K,1200,Y,CNY
CSX,TAO,MU,W,1510,Y,CNY
XIY,HYN,9H,L,1050,Y,CNY
TAO,CSX,QW,V,870,Y,CNY
HFE,INC,SC,Q,870,Y,CNY
HFE,INC,QW,W,1430,Y,CNY
HFE,INC,CA,G,1570,Y,CNY
TAO,CSX,HU,H,1360,Y,CNY
INC,HFE,CA,B,1410,Y,CNY
XIY,HYN,VD,F,2250,F,CNY
HFE,INC,PN,L,970,Y,CNY
CSX,TAO,A6,R,650,Y,CNY
TAO,CSX,HO,Y,1620,Y,CNY
HYN,XIY,MU,D,2080,C,CNY
CSX,TAO,KY,J,4440,C,CNY
HYN,XIY,9H,R,340,Y,CNY
INC,HFE,PN,H,1200,Y,CNY
CSX,TAO,A6,C,4860,C,CNY
CSX,TAO,BK,U,780,Y,CNY
TAO,CSX,JD,V,780,Y,CNY
INC,HFE,PN,V,690,Y,CNY
HFE,INC,DZ,Z,790,Y,CNY
CSX,TAO,BK,Q,1020,Y,CNY
TAO,CSX,MF,B,1520,Y,CNY
CSX,TAO,A6,A,810,Y,CNY
HFE,INC,DZ,U,430,Y,CNY
TAO,CSX,KY,G,1480,Y,CNY
INC,HFE,KY,W,930,Y,CNY
TAO,CSX,Y8,V,780,Y,CNY
