ORIG_AIRPORT_CD,DEST_AIRPORT_CD,CARRIER_CD,SUB_CLASS_CD,SUB_CLASS_PRICE,CLASS_CD,CURRENCY
HYN,XIY,9H,N,650,Y,CNY
CSX,TAO,Y8,B,1490,Y,CNY
XIY,HYN,9H,U,520,Y,CNY
HYN,XIY,9H,V,740,Y,CNY
TAO,CSX,MU,N,770,Y,CNY
XIY,HYN,MU,D,2080,C,CNY
HFE,INC,MU,W,1430,Y,CNY
TAO,CSX,QW,C,3240,C,CNY
TAO,CSX,SC,W,1620,Y,CNY
INC,HFE,KY,S,800,Y,CNY
HFE,INC,KY,U,1400,Y,CNY
HFE,INC,QW,V,720,Y,CNY
TAO,CSX,CA,Y,1620,Y,CNY
INC,HFE,ZH,Y,1570,Y,CNY
CSX,TAO,A6,I,730,Y,CNY
INC,HFE,ZH,J,3930,C,CNY
TAO,CSX,HU,B,1490,Y,CNY
XIY,HYN,9H,X,830,Y,CNY
HYN,XIY,VD,M,1280,Y,CNY
CSX,TAO,SC,V,870,Y,CNY
HYN,XIY,ZH,S,690,Y,CNY
INC,HFE,QW,L,1000,Y,CNY
HFE,INC,SC,U,640,Y,CNY
TAO,CSX,MF,H,1610,Y,CNY
XIY,HYN,VD,P,980,Y,CNY
CSX,TAO,CZ,Y,1480,Y,CNY
HFE,INC,MU,C,2250,C,CNY
CSX,TAO,CA,U,1360,Y,CNY
XIY,HYN,ZH,W,790,Y,CNY
HYN,XIY,9H,A,590,Y,CNY
HYN,XIY,ZH,G,1540,Y,CNY
TAO,CSX,BK,N,1100,Y,CNY
HYN,XIY,9H,U,520,Y,CNY
TAO,CSX,SC,Y,1620,Y,CNY
HYN,XIY,ZH,F,3850,F,CNY
INC,HFE,PN,X,770,Y,CNY
CSX,TAO,JD,L,1100,Y,CNY
HFE,INC,SC,G,800,Y,CNY
XIY,HYN,9H,N,650,Y,CNY
HFE,INC,DZ,B,1290,Y,CNY
HYN,XIY,VD,F,2250,F,CNY
HFE,INC,MU,Q,1860,C,CNY
TAO,CSX,CA,U,1360,Y,CNY
XIY,HYN,KY,S,690,Y,CNY
CSX,TAO,SC,Z,650,Y,CNY
CSX,TAO,A6,G,1620,Y,CNY
HYN,XIY,KY,U,1250,Y,CNY
XIY,HYN,MU,E,1290,Y,CNY
CSX,TAO,HO,Q,1150,Y,CNY
HYN,XIY,ZH,Y,1540,Y,CNY
CSX,TAO,Y8,C,4860,C,CNY
XIY,HYN,MU,F,3390,F,CNY
INC,HFE,DZ,H,1140,Y,CNY
HYN,XIY,MU,E,1290,Y,CNY
XIY,HYN,KY,W,790,Y,CNY
CSX,TAO,CZ,A,1020,Y,CNY
XIY,HYN,9H,K,1170,Y,CNY
TAO,CSX,SC,Z,650,Y,CNY
CSX,TAO,QW,U,790,Y,CNY
HYN,XIY,CA,J,3850,C,CNY
CSX,TAO,QW,C,3240,C,CNY
INC,HFE,CA,S,710,Y,CNY
TAO,CSX,HO,H,1230,Y,CNY
TAO,CSX,CZ,W,1480,Y,CNY
CSX,TAO,HU,H,1360,Y,CNY
INC,HFE,PN,Y,1430,Y,CNY
HFE,INC,QW,H,1140,Y,CNY
HFE,INC,ZH,Y,1570,Y,CNY
TAO,CSX,CZ,B,1390,Y,CNY
HFE,INC,MU,B,1290,Y,CNY
TAO,CSX,Y8,M,970,Y,CNY
HYN,XIY,MU,N,820,Y,CNY
CSX,TAO,HO,S,750,Y,CNY
HFE,INC,ZH,G,1570,Y,CNY
CSX,TAO,QW,Q,1040,Y,CNY
TAO,CSX,KY,M,1380,Y,CNY
HYN,XIY,VD,Y,1500,Y,CNY
CSX,TAO,QW,Y,1620,Y,CNY
CSX,TAO,JD,B,1490,Y,CNY
TAO,CSX,HU,K,1230,Y,CNY
HFE,INC,CA,M,1380,Y,CNY
CSX,TAO,SC,C,4780,C,CNY
CSX,TAO,HO,Z,580,Y,CNY
TAO,CSX,HO,J,4050,C,CNY
HFE,INC,PN,M,860,Y,CNY
HFE,INC,PN,A,490,Y,CNY
TAO,CSX,CZ,C,2660,C,CNY
HFE,INC,CA,F,3450,F,CNY
XIY,HYN,KY,G,1540,Y,CNY
TAO,CSX,JD,X,870,Y,CNY
TAO,CSX,HO,C,2430,C,CNY
INC,HFE,DZ,J,930,Y,CNY
HFE,INC,MU,Y,1430,Y,CNY
TAO,CSX,A6,T,970,Y,CNY
XIY,HYN,CA,S,690,Y,CNY
INC,HFE,MU,B,1290,Y,CNY
INC,HFE,SC,Z,570,Y,CNY
XIY,HYN,CA,M,1400,Y,CNY
INC,HFE,MU,V,510,Y,CNY
INC,HFE,CA,C,2360,C,CNY
HFE,INC,MU,P,1420,Y,CNY
TAO,CSX,HU,C,4860,C,CNY
CSX,TAO,HO,T,660,Y,CNY
XIY,HYN,MU,K,1120,Y,CNY
HFE,INC,DZ,K,1070,Y,CNY
INC,HFE,ZH,Q,1240,Y,CNY
HYN,XIY,KY,Y,1540,Y,CNY
XIY,HYN,MU,W,1540,Y,CNY
CSX,TAO,A6,N,1130,Y,CNY
CSX,TAO,JD,Y,1620,Y,CNY
INC,HFE,DZ,L,1000,Y,CNY
INC,HFE,SC,L,1070,Y,CNY
