ORIG_AIRPORT_CD,DEST_AIRPORT_CD,CARRIER_CD,SUB_CLASS_CD,SUB_CLASS_PRICE,CLASS_CD,CURRENCY
LHW,DLC,CA ,Y,1880,Y,CNY       
PVG,YBP,MU ,V,830,Y,CNY       
NGB,CGO,CZ ,A,570,Y,CTP       
CGO,NGB,HU ,X,610,Y,CNY       
CGO,KWL,CZ ,C,2300,C,CNY       
LZO,PVG,HO ,Y,1860,Y,CNY       
NGB,KWE,9C ,N,1220,Y,CTP       
YCU,TNA,MU ,S,260,Y,CNY       
YNT,NGB,3U ,F,3090,F,CNY       
DLC,LHW,G5 ,M,1330,Y,CNY       
LZO,NKG,HO ,C,2100,C,CNY       
TNA,CKG,SC ,C,3470,C,CNY       
TAO,LZO,MU ,B,1640,Y,CNY       
INC,HFE,DZ ,P,500,Y,CNY       
WUH,HGH,MU ,E,610,Y,CNY       
LZO,TAO,MU ,M,1510,Y,CNY       
YNT,NGB,MU ,E,760,Y,CNY       
CSX,TAO,HU ,C,4860,C,CNY       
DSN,HFE,MU ,E,1000,Y,CNY       
PVG,LLV,MU ,V,350,Y,CNY       
YNJ,YNT,MU ,B,1230,Y,CNY       
INC,HFE,9C ,N,950,Y,CTP       
XIY,KWL,JD ,X,700,Y,CNY       
CGO,NGB,CZ ,W,1130,Y,CNY       
TYN,DLC,BK ,U,660,Y,CNY       
DSN,HFE,MU ,K,880,Y,CNY       
HRB,HFE,CZ ,A,920,Y,CNY       
JIC,XIY,9H ,X,560,Y,CNY       
TAO,KWE,EU ,T,1740,Y,CNY       
YNT,NGB,SC ,Q,560,Y,CNY       
LHW,KWL,SC ,R,770,Y,CTP       
PVG,LZH,ZH ,F,2190,F,CNY       
XIY,HYN,MU ,Q,2000,C,CNY       
CGO,LZO,MU ,U,2580,C,CNY       
PVG,YCU,FM ,L,830,Y,CNY       
XIY,YZY,MU ,W,1240,Y,CNY       
LHW,KWE,HU ,X,750,Y,CNY       
LZO,CGO,MU ,L,790,Y,CNY       
CSX,TAO,SC ,Y,1620,Y,CNY       
YBP,PVG,HO ,E,590,Y,CNY       
YNT,YNJ,QW ,H,990,Y,CNY       
YCU,TAO,SC ,H,860,Y,CNY       
SHE,YNT,DR ,W,280,Y,CNY       
CKG,TNA,3U ,R,780,Y,CNY       
YNZ,KHN,MU ,F,2000,F,CNY       
NNG,XIY,JD ,N,760,Y,CNY       
NGB,DLC,HU ,M,740,Y,CTP       
SHE,YNT,DR ,R,500,Y,CNY       
LUM,CAN,CZ ,S,880,Y,CTP       
CGO,NGB,HU ,T,260,Y,CTP       
TNA,XMN,SC ,B,1490,Y,CNY       
LZO,PVG,MU ,L,1260,Y,CNY       
KWE,NGB,EU ,I,500,Y,CNY       
HDG,PVG,MU ,Y,1090,Y,CNY       
YCU,TNA,MU ,B,800,Y,CNY       
PVG,JNZ,FM ,U,3590,C,CNY       
HFE,HRB,GX ,K,1400,Y,CNY       
PVG,MIG,Y8 ,Y,1790,Y,CNY       
PVG,YCU,FM ,C,1920,C,CNY       
INC,HFE,PN ,Y,1430,Y,CNY       
LZO,PVG,HO ,Q,1320,Y,CNY       
XIY,KWL,CA ,J,2120,C,CNY       
PVG,LYI,MU ,U,1860,C,CNY       
DLC,TYN,BK ,Q,860,Y,CNY       
CGO,LZO,CZ ,H,980,Y,CNY       
XIY,KWL,MU ,W,1180,Y,CNY       
SHE,YNT,QW ,P,700,Y,CNY       
YBP,PVG,MU ,M,1740,Y,CNY       
NGB,KWE,GJ ,E,560,Y,CTP       
KHN,YNZ,MU ,I,1180,C,CNY       
CGO,KWL,CZ ,T,480,Y,CTP       
CSX,TAO,MU ,R,690,Y,CNY       
NNG,XIY,KY ,W,920,Y,CNY       
PVG,DSN,FM ,P,1660,Y,CNY       
XMN,TNA,SC ,Z,660,Y,CNY       
XIY,HYN,MU ,I,1820,C,CNY       
YIW,TAO,MU ,K,780,Y,CNY       
PVG,WXN,FM ,B,1520,Y,CNY       
XIY,NNG,G5 ,G,1270,Y,CNY       
TAO,KWE,HU ,X,1040,Y,CNY       
PVG,LZH,MU ,V,680,Y,CNY       
XIY,DYG,3U ,C,2030,C,CNY       
HYN,XIY,ZH ,W,790,Y,CNY       
CGO,NGB,CZ ,Z,340,Y,CTP       
PVG,YCU,FM ,F,3060,F,CNY       
LZO,WNZ,MU ,N,980,Y,CNY       
BAV,XIY,GS ,T,160,Y,CTP       
YNJ,YNT,MU ,Y,1240,Y,CNY       
DSN,PVG,FM ,U,3860,C,CNY       
FUG,PVG,FM ,C,1110,C,CNY       
LZO,WNZ,MU ,E,1330,Y,CNY       
TAO,NKG,JD ,T,290,Y,CNY       
CAN,LUM,CZ ,B,1640,Y,CNY       
PVG,MIG,FM ,U,4120,C,CNY       
