ORIG_AIRPORT_CD,DEST_AIRPORT_CD,CARRIER_CD,FLT_NBR,FLT_DPT_DT,SUB_CLASS_CD,SUB_CLASS_PRICE,CLASS_CD,CURRENCY,ETL_PROC_DT
HYN,XIY,MU,9962,2022/12/12 00:00:00.000,W,1540,Y,CNY,2022/12/12 16:55:17.000000000
HFE,INC,MU,6401,2022/12/12 00:00:00.000,B,1290,Y,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,I,1260,C,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,P,606,F,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,U,3020,F,CNY,2022/12/12 16:55:17.000000000
XIY,HYN,MU,9961,2022/12/12 00:00:00.000,G,0,Y,CNY,2022/12/12 16:55:17.000000000
HYN,XIY,MU,9962,2022/12/12 00:00:00.000,S,660,Y,CNY,2022/12/12 16:55:17.000000000
CSX,TAO,MU,6408,2022/12/12 00:00:00.000,V,530,Y,CNY,2022/12/12 16:55:17.000000000
XIY,HYN,MU,9961,2022/12/12 00:00:00.000,C,2160,C,CNY,2022/12/12 16:55:17.000000000
CSX,TAO,MU,6408,2022/12/12 00:00:00.000,M,1200,Y,CNY,2022/12/12 16:55:17.000000000
HYN,XIY,MU,9962,2022/12/12 00:00:00.000,N,820,Y,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,G,0,Y,CNY,2022/12/12 16:55:17.000000000
INC,HFE,MU,6402,2022/12/12 00:00:00.000,W,1430,Y,CNY,2022/12/12 16:55:17.000000000
HFE,INC,MU,6401,2022/12/12 00:00:00.000,H,0,Y,CNY,2022/12/12 16:55:17.000000000
CSX,TAO,MU,6408,2022/12/12 00:00:00.000,N,770,Y,CNY,2022/12/12 16:55:17.000000000
HYN,XIY,MU,9962,2022/12/12 00:00:00.000,Y,1540,Y,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,K,930,Y,CNY,2022/12/12 16:55:17.000000000
CSX,TAO,MU,6408,2022/12/12 00:00:00.000,O,0,C,CNY,2022/12/12 16:55:17.000000000
XIY,HYN,MU,9961,2022/12/12 00:00:00.000,E,1290,Y,CNY,2022/12/12 16:55:17.000000000
HFE,INC,MU,6401,2022/12/12 00:00:00.000,U,3250,F,CNY,2022/12/12 16:55:17.000000000
CSX,TAO,MU,6408,2022/12/12 00:00:00.000,Z,170,Y,CNY,2022/12/12 16:55:17.000000000
XIY,HYN,MU,9961,2022/12/12 00:00:00.000,B,1520,Y,CNY,2022/12/12 16:55:17.000000000
HFE,INC,MU,6401,2022/12/12 00:00:00.000,A,0,F,CNY,2022/12/12 16:55:17.000000000
INC,HFE,MU,6402,2022/12/12 00:00:00.000,J,3220,C,CNY,2022/12/12 16:55:17.000000000
INC,HFE,MU,6402,2022/12/12 00:00:00.000,R,640,Y,CNY,2022/12/12 16:55:17.000000000
CSX,TAO,MU,6408,2022/12/12 00:00:00.000,T,529,Y,CNY,2022/12/12 16:55:17.000000000
HYN,XIY,MU,9962,2022/12/12 00:00:00.000,L,980,Y,CNY,2022/12/12 16:55:17.000000000
XIY,HYN,MU,9961,2022/12/12 00:00:00.000,U,3080,F,CNY,2022/12/12 16:55:17.000000000
CSX,TAO,MU,6408,2022/12/12 00:00:00.000,W,1510,Y,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,A,0,F,CNY,2022/12/12 16:55:17.000000000
HFE,INC,MU,6401,2022/12/12 00:00:00.000,K,940,Y,CNY,2022/12/12 16:55:17.000000000
CSX,TAO,MU,6408,2022/12/12 00:00:00.000,J,2990,C,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,F,3320,F,CNY,2022/12/12 16:55:17.000000000
XIY,HYN,MU,9961,2022/12/12 00:00:00.000,H,0,Y,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,Q,1610,C,CNY,2022/12/12 16:55:17.000000000
CSX,TAO,MU,6408,2022/12/12 00:00:00.000,X,0,Y,CNY,2022/12/12 16:55:17.000000000
INC,HFE,MU,6402,2022/12/12 00:00:00.000,X,0,Y,CNY,2022/12/12 16:55:17.000000000
XIY,HYN,MU,9961,2022/12/12 00:00:00.000,A,0,F,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,H,0,Y,CNY,2022/12/12 16:55:17.000000000
HFE,INC,MU,6401,2022/12/12 00:00:00.000,C,2250,C,CNY,2022/12/12 16:55:17.000000000
HYN,XIY,MU,9962,2022/12/12 00:00:00.000,F,3390,F,CNY,2022/12/12 16:55:17.000000000
XIY,HYN,MU,9961,2022/12/12 00:00:00.000,K,1120,Y,CNY,2022/12/12 16:55:17.000000000
HFE,INC,MU,6401,2022/12/12 00:00:00.000,P,1420,F,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,C,2110,C,CNY,2022/12/12 16:55:17.000000000
HYN,XIY,MU,9962,2022/12/12 00:00:00.000,T,539,Y,CNY,2022/12/12 16:55:17.000000000
INC,HFE,MU,6402,2022/12/12 00:00:00.000,N,780,Y,CNY,2022/12/12 16:55:17.000000000
HFE,INC,MU,6401,2022/12/12 00:00:00.000,F,3580,F,CNY,2022/12/12 16:55:17.000000000
INC,HFE,MU,6402,2022/12/12 00:00:00.000,S,580,Y,CNY,2022/12/12 16:55:17.000000000
XIY,HYN,MU,9961,2022/12/12 00:00:00.000,Q,1440,C,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,E,1050,Y,CNY,2022/12/12 16:55:17.000000000
CSX,TAO,MU,6408,2022/12/12 00:00:00.000,Y,1510,Y,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,D,1960,C,CNY,2022/12/12 16:55:17.000000000
HFE,INC,MU,6401,2022/12/12 00:00:00.000,Z,0,Y,CNY,2022/12/12 16:55:17.000000000
HFE,INC,MU,6401,2022/12/12 00:00:00.000,G,0,Y,CNY,2022/12/12 16:55:17.000000000
XIY,HYN,MU,9961,2022/12/12 00:00:00.000,Z,0,Y,CNY,2022/12/12 16:55:17.000000000
INC,HFE,MU,6402,2022/12/12 00:00:00.000,T,500,Y,CNY,2022/12/12 16:55:17.000000000
INC,HFE,MU,6402,2022/12/12 00:00:00.000,Y,1430,Y,CNY,2022/12/12 16:55:17.000000000
TAO,CSX,MU,6407,2022/12/12 00:00:00.000,B,1360,Y,CNY,2022/12/12 16:55:17.000000000
HYN,XIY,MU,9962,2022/12/12 00:00:00.000,J,3050,C,CNY,2022/12/12 16:55:17.000000000
HYN,XIY,MU,9962,2022/12/12 00:00:00.000,R,720,Y,CNY,2022/12/12 16:55:17.000000000
XIY,HYN,MU,9961,2022/12/12 00:00:00.000,D,2080,C,CNY,2022/12/12 16:55:17.000000000
CSX,TAO,MU,6408,2022/12/12 00:00:00.000,R,690,Y,CNY,2022/12/12 16:55:17.000000000
