ORIG_AIRPORT_CD,DEST_AIRPORT_CD,CARRIER_CD,FLT_NBR,FLT_DPT_DT,SUB_CLASS_CD,SUB_CLASS_PRICE,CLASS_CD,CURRENCY,ETL_PROC_DT
CSX,TAO,MU ,6096 ,2022/08/16 00:00:00.000000000,P,606,F,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6096 ,2022/08/16 00:00:00.000000000,Q,1210,C,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6096 ,2022/08/16 00:00:00.000000000,R,690,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6096 ,2022/08/16 00:00:00.000000000,S,610,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6096 ,2022/08/16 00:00:00.000000000,T,450,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6096 ,2022/08/16 00:00:00.000000000,U,3020,F,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6096 ,2022/08/16 00:00:00.000000000,V,530,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6096 ,2022/08/16 00:00:00.000000000,W,1510,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6096 ,2022/08/16 00:00:00.000000000,X,0,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6096 ,2022/08/16 00:00:00.000000000,Y,1510,Y,CNY       ,2022/08/16 09:38:44.000000000
